postcode,suburb,lat,lon
3067,abbotsford,-37.801781,144.998752
3040,aberfeldie,-37.75669,144.896259
3042,airport west,-37.711698,144.88703700000005
3021,albanvale,-37.74593400000001,144.770027
3206,albert park,-37.840705,144.95571
3020,albion,-37.775954,144.819395
3078,alphington,-37.780767,145.03116
3018,altona,-37.869275,144.830286
3028,altona meadows,-37.871632,144.778084
3025,altona north,-37.842879,144.850049
3022,ardeer,-37.78292,144.801018
3143,armadale,-37.85934,145.018505
3032,ascot vale,-37.77583,144.923377
3147,ashburton,-37.863393,145.07942
3147,ashwood,-37.864686,145.093061
3195,aspendale,-38.026479,145.101908
3195,aspendale gardens,-38.023456,145.118374
3049,attwood,-37.667515,144.88529
3034,avondale heights,-37.74228400000001,144.81515
3183,balaclava,-37.869023,144.995478
3103,balwyn,-37.809701,145.082303
3104,balwyn north,-37.792835,145.071727
3175,bangholme,-38.033107,145.179482
3153,bayswater,-37.84126,145.266725
3153,bayswater north,-37.8303,145.275095
3193,beaumaris,-37.986285,145.032876
3160,belgrave,-37.908422,145.355075
3160,belgrave heights,-37.926012,145.352597
3081,bellfield,-37.751819,145.045449
3381,bellfield,-37.228577,142.480053
3204,bentleigh,-37.918057,145.03544399999996
3165,bentleigh east,-37.927402,145.059412
3806,berwick,-38.030467,145.344621
3193,black rock,-37.973503,145.01658
3130,blackburn,-37.819374,145.153852
3130,blackburn north,-37.810403,145.1521
3130,blackburn south,-37.831666,145.146719
3196,bonbeach,-38.062472,145.119404
3155,boronia,-37.861504,145.275762
3128,box hill,-37.817455,145.119314
3129,box hill north,-37.801761,145.126869
3128,box hill south,-37.828744,145.12184299999996
3088,briar hill,-37.709483,145.120135
3186,brighton,-37.913149,144.991682
3187,brighton east,-37.904879,145.002603
3047,broadmeadows,-37.680792,144.921009
3012,brooklyn,-37.814624,144.84710800000005
3056,brunswick,-37.764829,144.943778
3057,brunswick east,-37.76491,144.979567
3055,brunswick west,-37.762489,144.961176
3105,bulleen,-37.768554,145.079543
3083,bundoora,-37.70132,145.071967
3121,burnley,-37.826869,145.00709799999996
3023,burnside,-37.753381,144.75261799999996
3023,burnside heights,-37.771039,144.772248
3125,burwood,-37.852805,145.15190900000005
3151,burwood east,-37.858352,145.138553
3023,cairnlea,-37.762076,144.754169
3124,camberwell,-37.824818,145.05795700000004
3061,campbellfield,-37.643746,144.951369
3126,canterbury,-37.824249,145.073114
3053,carlton,-37.784337,144.96974699999996
3054,carlton north,-37.784337,144.96974699999996
3163,carnegie,-37.889336,145.058121
3023,caroline springs,-37.74124000000001,144.736311
3197,carrum,-38.076364,145.123205
3201,carrum downs,-38.090783,145.191719
3162,caulfield,-37.880479,145.026806
3145,caulfield east,-37.875412,145.041976
3161,caulfield north,-37.901678,145.02357
3162,caulfield south,-37.886903,145.02197900000004
3148,chadstone,-37.886372,145.082527
3196,chelsea,-38.052346,145.115941
3196,chelsea heights,-38.045473,145.135901
3192,cheltenham,-37.96451,145.055873
3169,clarinda,-37.941228,145.10244
3168,clayton,-37.925488,145.119662
3169,clayton south,-37.939215,145.126625
3782,clematis,-37.929232,145.423339
3068,clifton hill,-37.788118,144.992067
3058,coburg,-37.743188,144.966279
3058,coburg north,-37.730842,144.971699
3066,collingwood,-37.800366,144.984149
3048,coolaroo,-37.651811,144.930466
3064,craigieburn,-37.598975,144.94128700000005
3977,cranbourne,-38.11122,145.268832
3977,cranbourne north,-38.082218,145.276538
3121,cremorne,-37.829719,144.990346
3136,croydon,-37.798729,145.280685
3136,croydon hills,-37.774437,145.27557
3136,croydon north,-37.770695,145.294691
3136,croydon south,-37.811967,145.269481
3047,dallas,-37.673333,144.931141
3175,dandenong,-37.987271,145.214317
3175,dandenong north,-37.965724,145.205645
3175,dandenong south,-38.034031,145.20171100000005
3023,deer park,-37.770312,144.77472
3037,delahey,-37.715579,144.780474
3030,derrimut,-37.797549,144.771097
3089,diamond creek,-37.642629,145.217595
3172,dingley village,-37.973323,145.11994099999995
3008,docklands,-37.814719,144.948039
3108,doncaster,-37.783031,145.122517
3109,doncaster east,-37.811994,145.19474
3111,donvale,-38.183899,144.468019
3177,doveton,-37.995245,145.240156
3084,eaglemont,-37.762519,145.068208
3002,east melbourne,-37.81664,144.98781100000005
3196,edithvale,-38.037415,145.107846
3185,elsternwick,-37.884724,145.004153
3095,eltham,-37.71383,145.148537
3095,eltham north,-37.69401,145.147506
3184,elwood,-37.88812100000001,144.985026
3782,emerald,-37.932085,145.44073999999995
3802,endeavour hills,-37.975281,145.254481
3076,epping,-37.638363,145.009493
3040,essendon,-37.754973,144.917407
3041,essendon north,-37.744374,144.909853
3040,essendon west,-37.753802,144.888271
3177,eumemmerring,-37.997711,145.250273
3078,fairfield,-37.776946,145.018479
3060,fawkner,-37.759823,144.89571
3156,ferntree gully,-37.883019,145.295404
3786,ferny creek,-37.881284,145.342274
3065,fitzroy,-37.800917,144.979165
3068,fitzroy north,-37.7834,144.98468799999995
3031,flemington,-37.788375,144.931472
3011,footscray,-37.79977,144.89958700000003
3131,forest hill,-37.834099,145.166527
3199,frankston,-38.145001,145.122477
3200,frankston north,-38.165002,145.188595
3199,frankston south,-38.156538,145.123524
3185,gardenvale,-37.896915,145.005249
3043,gladstone park,-37.68861,144.88362800000004
3163,glen huntly,-37.889239,145.040629
3146,glen iris,-37.854687,145.067215
3150,glen waverley,-37.877631,145.166222
3046,glenroy,-37.704581,144.915758
3043,gowanbrae,-37.706316,144.89488500000004
3088,greensborough,-37.704622,145.103024
3046,hadfield,-37.707238,144.93832
3803,hallam,-38.004302,145.269261
3188,hampton east,-37.93360300000001,145.034175
3976,hampton park,-38.032221,145.26786299999995
3122,hawthorn,-37.834855,145.052097
3123,hawthorn east,-37.782254,145.001811
3202,heatherton,-37.969954,145.21416399999995
3135,heathmont,-37.830334,145.244356
3084,heidelberg,-37.756341,145.06714499999995
3081,heidelberg heights,-37.742268,145.048873
3081,heidelberg west,-37.74944,145.0414
3190,highett,-37.947848,145.034294
3037,hillside,-37.691437,144.74002
3875,hillside,-37.830936,147.47059099999996
3029,hoppers crossing,-37.882636,144.700297
3166,hughesdale,-37.895763,145.07654499999995
3166,huntingdale,-37.909347,145.103841
3099,hurstbridge,-37.640166,145.192477
3079,ivanhoe,-37.76964,145.041425
3079,ivanhoe east,-37.77283,145.059401
3047,jacana,-37.690301,144.915729
3977,junction village,-38.138435,145.29407700000004
3791,kallista,-37.900585,145.410171
3766,kalorama,-37.816839,145.367371
3021,kealba,-37.742331,144.825918
3036,keilor,-37.718965,144.83416599999995
3038,keilor downs,-37.725726,144.811346
3033,keilor east,-37.736264,144.796336
3038,keilor lodge,-37.695768,144.797032
3042,keilor park,-37.72465,144.850373
3031,kensington,-37.794333,144.929217
3101,kew,-37.797982,145.053727
3102,kew east,-37.796246,145.049017
3173,keysborough,-37.989707,145.14903700000005
3137,kilsyth,-37.802304,145.312198
3137,kilsyth south,-37.829539,145.302768
3083,kingsbury,-37.714064,145.035103
3021,kings park,-37.734277,144.780872
3012,kingsville,-37.812635,144.881803
3144,kooyong,-37.840702,145.032101
3180,knoxfield,-37.888895,145.24838300000005
3075,lalor,-37.665857,145.017194
3910,langwarrin,-38.153809,145.185851
3911,langwarrin south,-38.198507,145.182526
3028,laverton,-37.866939,144.761748
3140,lilydale,-37.755519,145.347707
3093,lower plenty,-37.730758,145.08811799999995
3975,lynbrook,-38.050457,145.257531
3975,lyndhurst,-38.053275,145.244343
3156,lysterfield south,-37.927092,145.291015
3085,macleod,-37.726038,145.068457
3012,maidstone,-37.782096,144.874299
3144,malvern,-37.861427,145.02850800000004
3145,malvern east,-37.87837,145.067892
3032,maribyrnong,-37.772229,144.886116
3204,mckinnon,-37.910967,145.037483
3048,meadow heights,-37.64986,144.922104
3000,melbourne,-37.814563,144.97026699999995
3004,melbourne,-37.837324,144.976335
3194,mentone,-37.98285900000001,145.0649
3206,middle park,-37.849721,144.965136
3082,mill park,-37.667957,145.060693
3132,mitcham,-37.816878,145.193712
3127,mont albert,-37.821232,145.104996
3129,mont albert north,-37.807247,145.11205
3094,montmorency,-37.715294,145.12158300000004
3765,montrose,-37.805976,145.33951399999995
3039,moonee ponds,-37.765707,144.919163
3189,moorabbin,-37.934352,145.03673500000005
3138,mooroolbark,-37.774337,145.329954
3195,mordialloc,-38.007154,145.086849
3767,mount dandenong,-37.835062,145.357831
3796,mount evelyn,-37.792515,145.375605
3149,mount waverley,-37.875273,145.128398
3170,mulgrave,-37.869611,145.10286599999995
3163,murrumbeena,-37.89069,145.067589
3805,narre warren,-38.026383,145.306933
3804,narre warren north,-37.981131,145.315271
3805,narre warren south,-38.050061,145.298191
3015,newport,-37.842477,144.88314499999996
3042,niddrie,-37.736031,144.889072
3174,noble park,-37.967254,145.176167
3174,noble park north,-37.9547,145.192117
3051,north melbourne,-37.905996,145.056254
3113,north warrandyte,-37.731758,145.221282
3070,northcote,-37.769857,144.995276
3168,notting hill,-37.90159600000001,145.145776
3131,nunawading,-37.820037,145.175726
3046,oak park,-37.71817,144.919959
3166,oakleigh,-37.899854,145.08711599999995
3166,oakleigh east,-37.900071,145.105574
3167,oakleigh south,-37.926986,145.0964
3204,ormond,-37.904059,145.040899
3114,park orchards,-37.778442,145.214586
3195,parkdale,-37.992659,145.075479
3052,parkville,-37.788531,144.947731
3044,pascoe vale,-37.727568,144.939122
3044,pascoe vale south,-37.739198,144.945722
3197,patterson lakes,-38.067368,145.144762
3030,point cook,-37.914616,144.751038
3207,port melbourne,-37.975682,145.03046799999996
3181,prahran,-37.849577,144.99371399999995
3072,preston,-37.738736,145.00051499999995
3054,princes hill,-37.780995,144.96279199999995
3095,research,-37.703602,145.18063600000005
3073,reservoir,-37.716897,145.006985
3121,richmond,-37.818587,144.999181
3134,ringwood,-37.81402,145.227362
3134,ringwood north,-37.787064,145.2356
3185,ripponlea,-37.876692,144.996194
3084,rosanna,-37.742893,145.065044
3178,rowville,-37.928005,145.235811
3064,roxburgh park,-37.636795,144.932604
3977,sandhurst,-38.080718,145.20951100000005
3191,sandringham,-37.952493,145.012316
3787,sassafras,-37.876027,145.36695
3179,scoresby,-37.864883,145.26426999999995
3028,seabrook,-37.877626,144.75777
3198,seaford,-38.110191,145.142512
3018,seaholme,-37.867992,144.843609
3011,seddon,-37.808769,144.895486
3159,selby,-37.915182,145.372016
3789,sherbrooke,-37.883737,145.364031
3977,skye,-38.1183,145.203099
3015,south kingsville,-37.833627,144.87074199999995
3205,south melbourne,-37.93291,145.033718
3752,south morang,-37.653074,145.095043
3141,south yarra,-37.83788300000001,144.991123
3006,southbank,-37.823258,144.965926
3015,spotswood,-37.82967,144.885078
3171,springvale,-37.97103,145.148499
3172,springvale south,-37.97103,145.148499
3021,st albans,-37.745063,144.799626
3182,st kilda,-37.867573,144.978814
3183,st kilda east,-37.866458,145.000047
3182,st kilda west,-37.860901,144.972523
3041,strathmore,-37.735876,144.919176
3041,strathmore heights,-37.716678,144.897568
3020,sunshine north,-37.768904,144.830258
3127,surrey hills,-37.825077,145.09741200000005
3037,sydenham,-37.70004,144.764617
3037,taylors hill,-37.710381,144.76679099999996
3038,taylors lakes,-37.69875800000001,144.78766000000005
3160,tecoma,-37.906626,145.343987
3106,templestowe,-37.768882,145.117873
3107,templestowe lower,-37.7563,145.102997
3154,the basin,-37.851467,145.30713300000005
3792,the patch,-37.887353,145.392574
3074,thomastown,-37.680338,145.01428700000002
3071,thornbury,-37.75504,144.99858899999995
3142,toorak,-37.84216,145.017966
3032,travancore,-37.777773,144.929915
3043,tullamarine,-37.68656,144.882698
3156,upper ferntree gully,-37.893513,145.310777
3158,upwey,-37.903672,145.33131
3133,vermont,-37.836235,145.194651
3133,vermont south,-37.856647,145.183576
3084,viewbank,-37.739262,145.096424
3139,wandin north,-37.771838,145.414182
3152,wantirna,-37.847915,145.228757
3152,wantirna south,-37.868979,145.23521100000005
3113,warrandyte,-37.736915,145.22314
3134,warranwood,-37.774017,145.2483
3195,waterways,-38.008051,145.11047299999996
3087,watsonia,-37.712531,145.082098
3087,watsonia north,-37.698352,145.084586
3030,werribee,-37.903337,144.657731
3012,west footscray,-37.797701,144.879924
3003,west melbourne,-37.806255,144.941123
3049,westmeadows,-37.673551,144.90086000000005
3150,wheelers hill,-37.909349,145.188659
3016,williamstown,-37.85690200000001,144.897698
3016,williamstown north,-37.857681,144.88704099999995
3181,windsor,-37.85615900000001,144.9922
3085,yallambie,-37.727482,145.10230900000005
3013,yarraville,-37.816178,144.889774
