,lga,lga_id
0,Banyule,1
1,Darebin,2
2,Whittlesea,3
3,Nillumbik,4
4,Bayside,5
5,Glen Eira,6
6,Kingston,7
7,Boroondara,8
8,Whitehorse,9
9,Stonnington,10
10,Brimbank,11
11,Hobsons Bay,12
12,East Gippsland,13
13,Melton,14
14,Hume,15
15,Moonee Valley,16
16,Moreland,17
17,Cardinia,18
18,Yarra Ranges,19
19,Casey,20
20,Greater Dandenong,21
21,Yarra,22
22,Frankston,23
23,Port Phillip,24
24,Wyndham,25
25,Monash,26
26,Knox,27
27,Manningham,28
28,Maribyrnong,29
29,Maroondah,30
30,Melbourne,31
