postcode,suburb,state,lat,lon,No liquor_store,No police,No park
3000,melbourne,VIC,-37.814563,144.97026699999998,20.0,4.0,20.0
3002,east melbourne,VIC,-37.81664,144.98781100000002,12.0,0.0,20.0
3003,west melbourne,VIC,-37.806255,144.941123,8.0,0.0,11.0
3006,southbank,VIC,-37.823258,144.965926,20.0,4.0,20.0
3008,docklands,VIC,-37.814719000000004,144.948039,17.0,7.0,20.0
3011,footscray,VIC,-37.79977,144.89958700000003,11.0,1.0,20.0
3011,seddon,VIC,-37.808769,144.895486,11.0,1.0,20.0
3012,brooklyn,VIC,-37.814624,144.84710800000002,1.0,0.0,4.0
3012,kingsville,VIC,-37.812635,144.881803,8.0,0.0,12.0
3012,maidstone,VIC,-37.782096,144.874299,4.0,0.0,16.0
3012,west footscray,VIC,-37.797701,144.879924,1.0,0.0,14.0
3013,yarraville,VIC,-37.816178,144.889774,7.0,0.0,18.0
3015,newport,VIC,-37.842477,144.88314499999998,5.0,0.0,16.0
3015,south kingsville,VIC,-37.833627,144.87074199999998,1.0,0.0,10.0
3015,spotswood,VIC,-37.82967,144.885078,1.0,0.0,16.0
3016,williamstown,VIC,-37.856902000000005,144.897698,7.0,0.0,18.0
3016,williamstown north,VIC,-37.857681,144.88704099999998,6.0,0.0,20.0
3018,altona,VIC,-37.869275,144.830286,5.0,0.0,8.0
3018,seaholme,VIC,-37.867992,144.84360900000001,2.0,0.0,13.0
